bound, object_val, constraint_val, exitlflag, thetaSol1, thetaSol2 
222.0000, 3.9744,  NaN, 1, 0.7281, -0.6854 
-222.0000,  NaN, -0.7602, 1, 0.7693, -0.6389 
 NaN,  NaN,  NaN, NaN,  NaN,  NaN 
-0.6980, 3.9744, -0.7520, 2, 0.7282, -0.6854 
-0.5564, 3.9744, -0.7520, 2, 0.7281, -0.6854 
-0.4148, 3.9744, -0.7520, 2, 0.7281, -0.6854 
-0.2732, 3.9744, -0.7520, 2, 0.7281, -0.6854 
-0.1316, 3.9744, -0.7520, 2, 0.7281, -0.6854 
0.0100, 3.9744, -0.7520, 2, 0.7281, -0.6854 
0.1516, 3.9744, -0.7520, 2, 0.7281, -0.6854 
0.2932, 3.9744, -0.7520, 2, 0.7281, -0.6854 
0.4348, 3.9744, -0.7520, 1, 0.7281, -0.6854 
0.5764, 3.9744, -0.7520, 1, 0.7281, -0.6854 
0.7180, 3.9744, -0.7520, 2, 0.7281, -0.6854 
0.8596, 3.9744, -0.7520, 2, 0.7281, -0.6854 
1.0012, 3.9744, -0.7520, 2, 0.7281, -0.6854 
1.1428, 3.9744, -0.7520, 2, 0.7281, -0.6854 
1.2844, 3.9744, -0.7520, 2, 0.7281, -0.6854 
1.4260, 3.9744, -0.7520, 2, 0.7281, -0.6854 
1.5676, 3.9744, -0.7520, 2, 0.7281, -0.6854 
1.7092, 3.9744, -0.7520, 2, 0.7281, -0.6854 
1.8508, 3.9744, -0.7520, 2, 0.7281, -0.6854 
